Indicador;Sexo;Mes;L;M;S
altura;M;208;1.0;175.5959;0.04322
altura;M;209;1.0;175.685;0.04311
altura;M;210;1.0;175.7672;0.04301
altura;M;211;1.0;175.8432;0.04291
altura;M;212;1.0;175.9133;0.04281
altura;M;213;1.0;175.9781;0.04271
altura;M;214;1.0;176.038;0.04261
altura;M;215;1.0;176.0935;0.04251
altura;M;216;1.0;176.1449;0.04241
altura;M;217;1.0;176.1925;0.04232
altura;M;218;1.0;176.2368;0.04222
altura;M;219;1.0;176.2779;0.04213
altura;M;220;1.0;176.3162;0.04204
altura;M;221;1.0;176.3518;0.04195
altura;M;222;1.0;176.3851;0.04185
altura;M;223;1.0;176.4162;0.04177
altura;M;224;1.0;176.4453;0.04168
altura;M;225;1.0;176.4724;0.04159
altura;M;226;1.0;176.4976;0.0415
altura;M;227;1.0;176.5211;0.04142
altura;M;228;1.0;176.5432;0.04134
altura;F;61;1.0;109.6016;0.04355
altura;F;62;1.0;110.1258;0.04364
altura;F;63;1.0;110.6451;0.04373
altura;F;64;1.0;111.1596;0.04382
altura;F;65;1.0;111.6696;0.0439
altura;F;66;1.0;112.1753;0.04399
altura;F;67;1.0;112.6767;0.04407
altura;F;68;1.0;113.174;0.04415
altura;F;69;1.0;113.6672;0.04423
altura;F;70;1.0;114.1565;0.04431
altura;F;71;1.0;114.6421;0.04439
altura;F;72;1.0;115.1244;0.04447
altura;F;73;1.0;115.6039;0.04454
altura;F;74;1.0;116.0812;0.04461
altura;F;75;1.0;116.5568;0.04469
altura;F;76;1.0;117.0311;0.04475
altura;F;77;1.0;117.5044;0.04482
altura;F;78;1.0;117.9769;0.04489
altura;F;79;1.0;118.4489;0.04495
altura;F;80;1.0;118.9208;0.04502
altura;F;81;1.0;119.3926;0.04508
altura;F;82;1.0;119.8648;0.04514
altura;F;83;1.0;120.3374;0.0452
altura;F;84;1.0;120.8105;0.04525
altura;F;85;1.0;121.2843;0.04531
altura;F;86;1.0;121.7587;0.04536
altura;F;87;1.0;122.2338;0.04542
altura;F;88;1.0;122.7098;0.04547
altura;F;89;1.0;123.1868;0.04551
altura;F;90;1.0;123.6646;0.04556
altura;F;91;1.0;124.1435;0.04561
altura;F;92;1.0;124.6234;0.04565
altura;F;93;1.0;125.1045;0.04569
altura;F;94;1.0;125.5869;0.04573
altura;F;95;1.0;126.0706;0.04577
altura;F;96;1.0;126.5558;0.04581
altura;F;97;1.0;127.0424;0.04585
altura;F;98;1.0;127.5304;0.04588
altura;F;99;1.0;128.0199;0.04591
altura;F;100;1.0;128.5109;0.04594
altura;F;101;1.0;129.0035;0.04597
altura;F;102;1.0;129.4975;0.046
altura;F;103;1.0;129.9932;0.04602
altura;F;104;1.0;130.4904;0.04604
altura;F;105;1.0;130.9891;0.04607
altura;F;106;1.0;131.4895;0.04608
altura;F;107;1.0;131.9912;0.0461
altura;F;108;1.0;132.4944;0.04612
altura;F;109;1.0;132.9989;0.04613
altura;F;110;1.0;133.5046;0.04614
altura;F;111;1.0;134.0118;0.04615
altura;F;112;1.0;134.5202;0.04616
altura;F;113;1.0;135.0299;0.04616
altura;F;114;1.0;135.541;0.04617
altura;F;115;1.0;136.0533;0.04617
altura;F;116;1.0;136.567;0.04616
altura;F;117;1.0;137.0821;0.04616
altura;F;118;1.0;137.5987;0.04616
altura;F;119;1.0;138.1167;0.04615
altura;F;120;1.0;138.6363;0.04614
altura;F;121;1.0;139.1575;0.04612
altura;F;122;1.0;139.6803;0.04611
altura;F;123;1.0;140.2049;0.04609
altura;F;124;1.0;140.7313;0.04607
altura;F;125;1.0;141.2594;0.04605
altura;F;126;1.0;141.7892;0.04603
altura;F;127;1.0;142.3206;0.046
altura;F;128;1.0;142.8534;0.04597
altura;F;129;1.0;143.3874;0.04594
altura;F;130;1.0;143.9222;0.04591
altura;F;131;1.0;144.4575;0.04588
altura;F;132;1.0;144.9929;0.04584
altura;F;133;1.0;145.528;0.0458
altura;F;134;1.0;146.0622;0.04576
altura;F;135;1.0;146.5951;0.04571
altura;F;136;1.0;147.1262;0.04567
altura;F;137;1.0;147.6548;0.04562
altura;F;138;1.0;148.1804;0.04557
altura;F;139;1.0;148.7023;0.04552
altura;F;140;1.0;149.2197;0.04546
altura;F;141;1.0;149.7322;0.04541
altura;F;142;1.0;150.239;0.04535
altura;F;143;1.0;150.7394;0.04529
altura;F;144;1.0;151.2327;0.04523
altura;F;145;1.0;151.7182;0.04516
altura;F;146;1.0;152.1951;0.0451
altura;F;147;1.0;152.6628;0.04503
altura;F;148;1.0;153.1206;0.04497
altura;F;149;1.0;153.5678;0.0449
altura;F;150;1.0;154.0041;0.04483
altura;F;151;1.0;154.429;0.04476
altura;F;152;1.0;154.8423;0.04468
altura;F;153;1.0;155.2437;0.04461
altura;F;154;1.0;155.633;0.04454
altura;F;155;1.0;156.0101;0.04446
altura;F;156;1.0;156.3748;0.04439
altura;F;157;1.0;156.7269;0.04431
altura;F;158;1.0;157.0666;0.04423
altura;F;159;1.0;157.3936;0.04415
altura;F;160;1.0;157.7082;0.04408
altura;F;161;1.0;158.0102;0.044
altura;F;162;1.0;158.2997;0.04392
altura;F;163;1.0;158.5771;0.04384
altura;F;164;1.0;158.8425;0.04376
altura;F;165;1.0;159.0961;0.04369
altura;F;166;1.0;159.3382;0.04361
altura;F;167;1.0;159.5691;0.04353
altura;F;168;1.0;159.789;0.04345
altura;F;169;1.0;159.9983;0.04337
altura;F;170;1.0;160.1971;0.0433
altura;F;171;1.0;160.3857;0.04322
